City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
72,Dhidhdhoo,MV,6.8833,73.1,84.56,72,60,7.27,broken clouds,2022-04-18 18:49:24
73,Russkoye,UA,45.0167,34.8,43.97,93,95,6.29,overcast clouds,2022-04-18 18:49:24
74,Castleford,GB,53.7259,-1.3626,56.41,64,99,4.05,overcast clouds,2022-04-18 18:49:24
75,Tarrega,ES,41.647,1.1396,62.98,73,2,7.72,clear sky,2022-04-18 18:49:25
76,Geraldton,AU,-28.7667,114.6,55.81,67,0,10.36,clear sky,2022-04-18 18:49:25
77,Pasni,PK,25.2631,63.471,79.75,92,4,3.62,clear sky,2022-04-18 18:49:25
78,Carnot,CF,4.9409,15.8665,69.8,97,100,2.73,overcast clouds,2022-04-18 18:49:26
79,Manapparai,IN,10.6,78.4167,85.06,67,14,1.9,few clouds,2022-04-18 18:49:26
80,Tasiilaq,GL,65.6145,-37.6368,33.96,97,100,5.99,light snow,2022-04-18 18:49:26
81,Ivybridge,GB,50.3904,-3.9191,52.72,71,12,9.62,few clouds,2022-04-18 18:49:27
82,Derzhavinsk,KZ,51.1,66.3167,48.33,57,2,6.24,clear sky,2022-04-18 18:49:27
83,Hofn,IS,64.2539,-15.2082,46.42,66,100,19.57,light intensity drizzle,2022-04-18 18:49:27
84,Louga,RU,58.7372,29.8453,41.94,83,100,4.41,overcast clouds,2022-04-18 18:49:28
85,Aasiaat,GL,68.7098,-52.8699,11.3,78,100,11.95,overcast clouds,2022-04-18 18:49:28
86,Chuy,UY,-33.6971,-53.4616,69.91,64,21,11.05,few clouds,2022-04-18 18:49:28
87,Marzuq,YE,14.4,46.4667,74.25,54,6,5.86,clear sky,2022-04-18 18:49:28
88,Leh,IN,34.1667,77.5833,39.54,42,0,5.26,clear sky,2022-04-18 18:49:29
89,Camana,PE,-16.6228,-72.7111,71.35,66,42,7.96,scattered clouds,2022-04-18 18:49:29
90,Inhambane,MZ,-23.865,35.3833,73.38,94,75,0.0,drizzle,2022-04-18 18:49:29
91,Iralaya,HN,15.0,-83.2333,85.12,59,5,11.23,clear sky,2022-04-18 18:49:30
92,Sarakhs,IR,36.5449,61.1577,55.63,62,100,8.43,overcast clouds,2022-04-18 18:49:30
93,Uaua,BR,-9.8414,-39.4817,80.22,67,88,14.5,overcast clouds,2022-04-18 18:49:30
94,Piacabucu,BR,-10.4056,-36.4344,82.71,67,65,9.69,broken clouds,2022-04-18 18:49:31
95,Kemi,FI,65.8596,24.8228,33.57,93,0,3.44,clear sky,2022-04-18 18:49:31
96,Araouane,ML,18.9048,-3.5265,81.01,9,0,8.84,clear sky,2022-04-18 18:49:31
97,Ilulissat,GL,69.2167,-51.1,15.82,79,100,12.66,light shower snow,2022-04-18 18:49:31
98,Beira,MZ,-19.8436,34.8389,78.89,78,20,10.36,few clouds,2022-04-18 18:49:32
99,Niquero,CU,20.0431,-77.5828,82.85,63,23,1.99,few clouds,2022-04-18 18:49:32
100,Codrington,AU,-38.2667,141.9667,55.2,82,100,7.67,overcast clouds,2022-04-18 18:49:32
101,Lebu,CL,-37.6167,-73.65,57.79,87,100,5.73,overcast clouds,2022-04-18 18:46:07
102,Lantana,US,26.5867,-80.052,89.06,66,75,10.36,broken clouds,2022-04-18 18:49:33
103,Bonavista,CA,48.6499,-53.1147,38.03,76,100,19.95,overcast clouds,2022-04-18 18:49:33
104,Band,RO,46.5833,24.3833,44.58,52,100,0.0,overcast clouds,2022-04-18 18:49:33
105,Requena,ES,39.4883,-1.1004,54.52,83,63,5.35,broken clouds,2022-04-18 18:49:34
106,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,19.57,scattered clouds,2022-04-18 18:49:34
107,Olesno,PL,50.877,18.4209,42.1,56,100,5.95,overcast clouds,2022-04-18 18:49:34
108,Lusambo,CD,-4.9667,23.45,73.62,92,56,2.06,broken clouds,2022-04-18 18:49:35
109,Benghazi,LY,32.1167,20.0667,60.51,74,10,19.8,clear sky,2022-04-18 18:49:35
110,Bongandanga,CD,1.5,21.05,74.16,90,100,1.74,overcast clouds,2022-04-18 18:49:35
111,Henties Bay,NA,-22.116,14.2845,65.43,71,22,6.38,few clouds,2022-04-18 18:49:36
