City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
175,Kutum,SD,86.54,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
176,Moju,BR,81.41,overcast clouds,-1.8839,-48.7689,HOTEL MARTINS
177,Mahendranagar,NP,80.37,clear sky,28.9167,80.3333,Agan Cottage
178,Marsh Harbour,BS,77.36,broken clouds,26.5412,-77.0636,Abaco Beach Resort
179,Sur,OM,84.65,clear sky,22.5667,59.5289,Sur Plaza Hotel
188,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
189,Tallahassee,US,80.67,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
194,Pizarro,CO,80.17,light rain,4.9533,-77.366,Hotel Limonar
196,Kavaratti,IN,84.45,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
198,Ampanihy,MG,74.59,overcast clouds,-24.7,44.75,Angora Hotel
