City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,Verkhovazhye,60.7472,42.0465,34.41,99,100,4.09,RU,2022-04-12 00:14:46
175,Umm Lajj,25.0213,37.2685,75.79,69,0,7.63,SA,2022-04-12 00:10:53
176,Kafanchan,9.5833,8.3,78.13,52,72,3.49,NG,2022-04-12 00:14:47
177,Santo Antonio Do Ica,-3.1022,-67.9397,74.93,98,93,1.99,BR,2022-04-12 00:14:48
178,Bayji,34.9311,43.487,72.97,21,0,10.45,IQ,2022-04-12 00:11:51
179,Santander,43.4647,-3.8044,61.92,57,0,13.8,ES,2022-04-12 00:14:49
180,Bambari,5.768,20.6757,77.38,67,100,2.62,CF,2022-04-12 00:14:49
181,Oksfjord,70.2396,22.3479,34.0,98,100,10.8,NO,2022-04-12 00:14:50
182,Monze,-16.2833,27.4833,65.19,82,100,3.69,ZM,2022-04-12 00:14:50
183,Sinazongwe,-17.2614,27.4618,72.77,70,98,2.37,ZM,2022-04-12 00:09:38
184,San Rafael,-34.6177,-68.3301,57.69,43,21,7.16,AR,2022-04-12 00:12:36
185,Laguna,38.421,-121.4238,63.14,20,0,19.57,US,2022-04-12 00:11:53
186,Kousseri,12.0769,15.0306,91.78,29,46,7.36,CM,2022-04-12 00:09:10
187,Bonavista,48.6499,-53.1147,32.09,96,100,39.24,CA,2022-04-12 00:10:48
188,Bozoum,6.3193,16.3799,72.79,69,44,2.59,CF,2022-04-12 00:14:52
189,Alta Floresta,-9.8756,-56.0861,73.94,89,19,1.32,BR,2022-04-12 00:09:15
190,Gobabis,-22.45,18.9667,67.77,49,57,8.9,NA,2022-04-12 00:14:52
191,Zheleznodorozhnyy,55.7503,38.0042,37.62,97,100,7.87,RU,2022-04-12 00:14:53
192,Bella Vista,36.4295,-94.2316,60.28,93,100,10.36,US,2022-04-12 00:14:53
193,Kamskoye Ustye,55.2016,49.268,39.2,99,100,4.68,RU,2022-04-12 00:14:54
194,Madaoua,14.073,5.96,87.98,15,23,5.48,NE,2022-04-12 00:14:54
195,Pangoa,-12.1167,-73.0,70.0,98,100,2.15,PE,2022-04-12 00:14:55
196,Necochea,-38.5473,-58.7368,53.87,89,84,12.77,AR,2022-04-12 00:06:05
197,Pemba,-12.974,40.5178,79.39,79,25,11.01,MZ,2022-04-12 00:10:36
198,Kamenka,51.3223,42.7678,49.75,78,68,10.2,RU,2022-04-12 00:08:43
199,Coquimbo,-29.9533,-71.3436,59.36,79,1,3.06,CL,2022-04-12 00:08:42
200,Halifax,44.6453,-63.5724,48.09,68,80,8.08,CA,2022-04-12 00:13:59
201,Faisalabad,31.4167,73.0833,84.96,13,100,3.6,PK,2022-04-12 00:14:56
202,Havre-Saint-Pierre,50.2334,-63.5986,36.12,71,42,11.56,CA,2022-04-12 00:09:15
203,Vagur,61.4732,-6.8119,40.64,95,100,29.01,FO,2022-04-12 00:14:57
